council,amount
North East England,
Darlington,50674
County Durham,117183
Gateshead,164690
Hartlepool,53841
Middlesbrough,110849
Newcastle upon Tyne,199528
North Tyneside,57008
Northumberland,69676
Redcar and Cleveland,44339
South Tyneside,82345
Stockton-on-Tees,82345
Sunderland,136185
North West England,
Blackburn with Darwen,76010
Blackpool,50674
Bolton,104514
Bury,114016
Cheshire East,117183
Cheshire West and Chester,110849
Cumbria,196361
Halton,63342
Knowsley,98180
Lancashire,313544
Liverpool,399056
Manchester,532075
Oldham,63342
Rochdale,66509
Salford,104514
Sefton,66509
St Helens,41172
Stockport,148855
Tameside,57008
Trafford,104514
Warrington,91846
Wigan,117183
Wirral,177359
Yorkshire and the Humber,
Barnsley,76010
Bradford,243868
Calderdale,79178
Doncaster,148855
East Riding of Yorkshire,104514
Kingston Upon Hull,136185
Kirklees,98180
Leeds,354716
North East Lincolnshire,76010
North Lincolnshire,19003
North Yorkshire,164690
Rotherham,76010
Sheffield,180526
Wakefield,152022
York,95013
East Midlands,
Derby,148855
Derbyshire,224865
Leicester,155189
Leicestershire,91846
Lincolnshire,196361
Northamptonshire,272372
Nottingham,177359
Nottinghamshire,215364
Rutland,9501
West Midlands,
Birmingham,481401
Coventry,152022
Dudley,152022
Herefordshire,85512
Sandwell,133018
Shropshire,101347
Solihull,205863
Staffordshire,228032
Stoke-on-Trent,120350
Telford and Wrekin,57008
Walsall,155189
Warwickshire,313544
Wolverhampton,82345
Worcestershire,253369
East of England,
Bedford,82345
Central Bedfordshire,91846
Cambridgeshire,174192
Essex,522574
Hertfordshire,471900
Luton,155189
Norfolk,386387
Peterborough,123517
Southend-on-Sea,123517
Suffolk,247035
Thurrock,117183
London,
Inner London,
Camden,139352
City of London,15836
Hackney,129851
Hammersmith and Fulham,104514
Haringey,186860
Islington,240701
Kensington and Chelsea,79178
Lambeth,294541
Lewisham,234366
Newham,259703
Southwark,338881
Tower Hamlets,139352
Wandsworth,57008
Westminster,110849
Outer London,
Barking and Dagenham,136185
Barnet,117183
Bexley,110849
Brent,142520
Bromley,117183
Croydon,551077
Ealing,186860
Enfield,129851
Greenwich,253369
Harrow,85512
Havering,76010
Hillingdon,180526
Hounslow,145687
Kingston upon Thames,72843
Merton,47507
Redbridge,95013
Richmond Upon Thames,47507
Sutton,82345
Waltham Forest,161523
South East England,
Bracknell Forest,41172
Brighton and Hove,281873
Buckinghamshire,110849
East Sussex,297708
Hampshire,440228
Isle of Wight,114016
Kent,851953
Medway,177359
Milton Keynes,63342
Oxfordshire,224865
Portsmouth,88679
Reading,69676
Slough,53841
Southampton,148855
Surrey,443395
West Berkshire,57008
West Sussex,240701
Windsor and Maidenhead,34838
Wokingham,38005
South West England,
Bath and North East Somerset,98180
Bournemouth,79178
Bristol,351549
Cornwall,158356
Devon,171024
Dorset,107681
Gloucestershire,278706
Isles of Scilly,0
North Somerset,57008
Plymouth,114016
Poole,47507
Somerset,142520
South Gloucestershire,76010
Swindon,180526
Torbay,53841
Wiltshire,104514
